pid,group,design,case,case_gt_decision,case_risk_class,variant,used_standard_prompt,decision,correct_vs_gt,task_succeeded_self,tech_succeeded,trust_rating,confidence_rating,transparency_rating,control_rating,decision_time_s,plans_seen,plans_approved,plans_rejected,chat_n_user_msgs,chat_n_assistant_msgs,has_notes,notes_chars,overestimated,underestimated
P01,professional_dev,A,C01,approve,low,summary,1,approve,1,1,1,3,7,4,3,214.3,1,0,0,1,1,1,55,0,0
P01,professional_dev,A,C04,reject,high,summary,1,reject,1,0,0,1,7,1,5,92.8,1,0,1,1,1,1,102,0,0
P01,professional_dev,A,C08,approve,med,summary,1,approve,1,0,1,2,7,5,5,441.3,25,3,12,3,3,1,94,0,1
P01,professional_dev,A,C02,approve,low,diff,1,approve,1,1,1,7,7,7,5,305.2,3,0,0,4,4,0,0,0,0
P01,professional_dev,A,C05,reject,med_high,diff,1,approve,0,0,0,3,7,6,5,188.0,20,2,13,1,1,1,127,0,0
P01,professional_dev,A,C06,reject,high,diff,1,approve,0,1,1,6,7,6,5,185.1,4,2,0,1,1,1,117,0,0
P01,professional_dev,A,C03,approve,low_med,diff_risk,1,approve,1,1,1,7,7,7,4,78.2,1,0,0,1,1,1,38,0,0
P01,professional_dev,A,C07,reject,high,diff_risk,1,approve,0,1,1,4,4,4,4,137.7,1,1,0,1,1,0,0,0,0
P02,professional_dev,B,C02,approve,low,summary,1,approve,1,1,1,7,7,7,7,221.2,1,0,0,1,1,1,3,0,0
P02,professional_dev,B,C05,reject,med_high,summary,1,approve,0,0,0,6,7,4,6,179.3,14,1,8,1,1,1,87,0,0
P02,professional_dev,B,C06,reject,high,summary,1,approve,0,1,1,2,4,2,3,176.1,5,3,0,1,1,1,109,0,0
P02,professional_dev,B,C03,approve,low_med,diff,1,approve,1,1,1,7,7,7,7,79.5,1,0,0,1,1,1,87,0,0
P02,professional_dev,B,C07,reject,high,diff,1,approve,0,1,1,6,6,7,7,119.5,1,1,0,1,1,1,45,0,0
P02,professional_dev,B,C01,approve,low,diff_risk,1,approve,1,1,1,7,7,7,7,130.5,1,0,0,1,1,1,139,0,0
P02,professional_dev,B,C04,reject,high,diff_risk,1,approve,0,1,1,6,7,7,6,120.2,1,1,0,1,1,1,117,0,0
P02,professional_dev,B,C08,approve,med,diff_risk,1,approve,1,0,1,3,4,6,5,253.7,25,2,13,2,2,1,227,0,1
P03,professional_dev,C,C03,approve,low_med,summary,1,approve,1,1,1,7,7,2,1,503.6,1,0,0,1,1,0,0,0,0
P03,professional_dev,C,C07,reject,high,summary,1,approve,0,0,1,7,3,7,1,193.4,1,1,0,1,1,0,0,0,1
P03,professional_dev,C,C01,approve,low,diff,1,approve,1,1,1,3,3,7,1,93.7,1,0,0,1,1,0,0,0,0
P03,professional_dev,C,C04,reject,high,diff,1,approve,0,1,1,7,5,6,3,128.4,1,1,0,1,1,0,0,0,0
P03,professional_dev,C,C08,approve,med,diff,1,approve,1,0,1,2,2,2,1,743.3,13,1,7,1,1,0,0,0,1
P03,professional_dev,C,C02,approve,low,diff_risk,0,approve,1,0,1,1,7,7,1,1235.6,1,0,0,1,1,0,0,0,1
P03,professional_dev,C,C05,reject,med_high,diff_risk,0,approve,0,0,0,2,7,7,1,1140.4,3,0,0,1,1,0,0,0,0
P03,professional_dev,C,C06,reject,high,diff_risk,0,approve,0,0,1,3,4,7,1,1782.6,8,6,0,3,3,0,0,0,1
P04,professional_dev,A,C01,approve,low,summary,1,approve,1,1,1,7,7,7,7,136.9,1,0,0,1,1,0,0,0,0
P04,professional_dev,A,C04,reject,high,summary,1,approve,0,1,1,7,7,7,7,82.0,1,1,0,1,1,0,0,0,0
P04,professional_dev,A,C08,approve,med,summary,1,approve,1,0,1,6,7,6,7,466.6,19,2,7,2,2,0,0,0,1
P04,professional_dev,A,C02,approve,low,diff,1,approve,1,1,1,7,7,7,7,65.1,1,0,0,1,1,0,0,0,0
P04,professional_dev,A,C05,reject,med_high,diff,1,approve,0,0,0,6,7,7,7,358.0,51,1,44,2,2,0,0,0,0
P04,professional_dev,A,C06,reject,high,diff,1,approve,0,1,1,7,7,7,7,114.7,5,2,1,1,1,0,0,0,0
P04,professional_dev,A,C03,approve,low_med,diff_risk,1,approve,1,1,1,7,7,7,7,61.0,1,0,0,1,1,0,0,0,0
P04,professional_dev,A,C07,reject,high,diff_risk,1,approve,0,1,1,7,7,7,7,109.2,1,1,0,1,1,0,0,0,0
P05,professional_dev,B,C02,approve,low,summary,0,approve,1,1,1,7,7,5,6,239.2,1,0,0,1,1,1,161,0,0
P05,professional_dev,B,C05,reject,med_high,summary,0,approve,0,1,1,5,7,7,7,278.7,2,2,0,2,2,1,297,0,0
P05,professional_dev,B,C06,reject,high,summary,1,approve,0,1,1,6,7,6,7,165.7,4,2,0,1,1,1,133,0,0
P05,professional_dev,B,C03,approve,low_med,diff,1,approve,1,1,1,7,7,7,7,73.9,1,0,0,1,1,1,47,0,0
P05,professional_dev,B,C07,reject,high,diff,1,approve,0,1,1,6,6,6,7,511.0,1,1,0,1,1,1,111,0,0
P05,professional_dev,B,C01,approve,low,diff_risk,1,approve,1,1,1,7,7,7,7,19.0,1,0,0,1,1,0,0,0,0
P05,professional_dev,B,C04,reject,high,diff_risk,1,approve,0,1,1,7,7,7,7,65.4,1,1,0,1,1,1,59,0,0
P05,professional_dev,B,C08,approve,med,diff_risk,1,approve,1,1,1,5,7,6,6,345.6,23,2,10,3,3,1,134,0,0
P06,professional_dev,C,C03,approve,low_med,summary,0,approve,1,1,1,7,7,7,7,575.3,1,0,0,1,1,0,0,0,0
P06,professional_dev,C,C07,reject,high,summary,0,approve,0,1,1,6,7,7,6,255.8,2,2,0,2,2,1,63,0,0
P06,professional_dev,C,C01,approve,low,diff,0,approve,1,1,0,6,7,7,5,181.5,1,0,0,1,1,1,96,1,0
P06,professional_dev,C,C04,reject,high,diff,0,approve,0,1,1,6,7,7,5,289.4,3,1,2,2,2,1,87,0,0
P06,professional_dev,C,C08,approve,med,diff,0,approve,1,0,1,5,6,5,5,373.0,41,1,30,2,2,0,0,0,1
P06,professional_dev,C,C02,approve,low,diff_risk,0,approve,1,1,1,7,7,7,7,79.0,1,0,0,1,1,0,0,0,0
P06,professional_dev,C,C05,reject,med_high,diff_risk,0,reject,1,0,0,5,6,5,6,298.5,31,0,26,2,2,0,0,0,0
P06,professional_dev,C,C06,reject,high,diff_risk,0,approve,0,1,1,6,6,5,6,547.9,6,5,0,2,2,0,0,0,0
P07,professional_dev,A,C01,approve,low,summary,1,approve,1,1,1,7,7,7,7,391.3,1,0,0,1,1,0,0,0,0
P07,professional_dev,A,C04,reject,high,summary,1,approve,0,1,1,7,6,7,3,308.2,1,1,0,1,1,1,84,0,0
P07,professional_dev,A,C08,approve,med,summary,1,approve,1,1,1,4,5,4,2,204.5,12,1,6,1,1,0,0,0,0
P07,professional_dev,A,C02,approve,low,diff,1,approve,1,1,1,6,7,7,5,200.6,1,0,0,1,1,1,36,0,0
P07,professional_dev,A,C05,reject,med_high,diff,1,approve,0,1,1,3,6,7,3,528.8,66,2,54,2,2,1,46,0,0
P07,professional_dev,A,C06,reject,high,diff,1,approve,0,1,1,7,7,5,5,219.9,4,2,0,1,1,0,0,0,0
P07,professional_dev,A,C03,approve,low_med,diff_risk,1,approve,1,1,1,7,7,7,7,72.6,1,0,0,1,1,0,0,0,0
P07,professional_dev,A,C07,reject,high,diff_risk,1,approve,0,1,1,7,7,6,6,182.5,1,1,0,1,1,1,72,0,0
P08,professional_dev,B,C02,approve,low,summary,0,approve,1,1,1,7,7,7,6,206.1,1,0,0,1,1,0,0,0,0
P08,professional_dev,B,C05,reject,med_high,summary,1,approve,0,0,0,5,4,5,2,457.9,24,1,13,2,2,0,0,0,0
P08,professional_dev,B,C06,reject,high,summary,1,approve,0,1,1,7,7,7,7,133.7,4,2,0,1,1,0,0,0,0
P08,professional_dev,B,C03,approve,low_med,diff,1,approve,1,1,1,7,7,7,7,50.0,1,0,0,1,1,0,0,0,0
P08,professional_dev,B,C07,reject,high,diff,1,approve,0,1,1,7,7,6,7,172.5,1,1,0,1,1,1,113,0,0
P08,professional_dev,B,C01,approve,low,diff_risk,1,approve,1,1,1,7,7,7,7,46.6,1,0,0,1,1,0,0,0,0
P08,professional_dev,B,C04,reject,high,diff_risk,1,approve,0,1,1,7,7,7,7,96.8,1,1,0,1,1,0,0,0,0
P08,professional_dev,B,C08,approve,med,diff_risk,1,approve,1,1,1,7,7,7,7,239.9,13,2,6,1,1,0,0,0,0
P09,professional_dev,A,C01,approve,low,summary,1,approve,1,1,1,5,7,7,7,382.8,1,0,0,1,1,0,0,0,0
P09,professional_dev,A,C04,reject,high,summary,1,approve,0,1,1,6,6,7,7,198.7,2,1,0,3,3,0,0,0,0
P09,professional_dev,A,C08,approve,med,summary,1,approve,1,1,1,5,6,7,6,318.8,1,1,0,2,2,0,0,0,0
P09,professional_dev,A,C02,approve,low,diff,1,approve,1,1,1,7,7,7,6,113.7,1,0,0,1,1,0,0,0,0
P09,professional_dev,A,C05,reject,med_high,diff,1,approve,0,0,0,4,6,6,5,661.0,34,1,28,5,5,0,0,0,0
P09,professional_dev,A,C06,reject,high,diff,1,approve,0,1,1,6,7,6,7,223.7,8,4,0,2,2,0,0,0,0
P09,professional_dev,A,C03,approve,low_med,diff_risk,1,approve,1,1,1,7,7,7,7,163.8,2,0,0,2,2,0,0,0,0
P09,professional_dev,A,C07,reject,high,diff_risk,1,approve,0,1,1,7,7,7,7,85.7,2,2,0,2,2,0,0,0,0
P10,professional_dev,C,C03,approve,low_med,summary,1,approve,1,1,1,6,6,7,3,598.0,1,0,0,1,1,0,0,0,0
P10,professional_dev,C,C07,reject,high,summary,1,approve,0,1,1,6,7,7,1,231.0,3,2,1,3,3,1,81,0,0
P10,professional_dev,C,C01,approve,low,diff,1,approve,1,1,1,7,7,7,6,35.9,1,0,0,1,1,0,0,0,0
P10,professional_dev,C,C04,reject,high,diff,1,approve,0,1,1,6,7,6,6,95.7,1,1,0,1,1,0,0,0,0
P10,professional_dev,C,C08,approve,med,diff,1,approve,1,1,1,2,6,6,2,169.0,14,1,8,1,1,1,35,0,0
P10,professional_dev,C,C02,approve,low,diff_risk,1,approve,1,1,1,7,7,7,6,44.6,1,0,0,1,1,0,0,0,0
P10,professional_dev,C,C05,reject,med_high,diff_risk,1,approve,0,1,0,4,7,6,2,110.9,22,1,16,1,1,1,21,1,0
P10,professional_dev,C,C06,reject,high,diff_risk,1,approve,0,1,1,7,7,3,5,104.0,4,2,0,1,1,1,69,0,0
P11,citizen_dev,A,C01,approve,low,summary,1,approve,1,1,1,7,7,7,7,398.6,1,0,0,1,1,0,0,0,0
P11,citizen_dev,A,C04,reject,high,summary,1,approve,0,1,1,7,7,7,7,50.6,1,1,0,1,1,0,0,0,0
P11,citizen_dev,A,C08,approve,med,summary,1,approve,1,1,1,7,7,7,7,463.5,33,2,7,6,6,0,0,0,0
