pid,group,design,sus_score,overall_trust,would_use,C01_variant,C01_trust,C01_conf,C01_trans,C01_ctrl,C01_time_s,C01_tech_succ,C01_self_succ,C01_correct,C02_variant,C02_trust,C02_conf,C02_trans,C02_ctrl,C02_time_s,C02_tech_succ,C02_self_succ,C02_correct,C03_variant,C03_trust,C03_conf,C03_trans,C03_ctrl,C03_time_s,C03_tech_succ,C03_self_succ,C03_correct,C04_variant,C04_trust,C04_conf,C04_trans,C04_ctrl,C04_time_s,C04_tech_succ,C04_self_succ,C04_correct,C05_variant,C05_trust,C05_conf,C05_trans,C05_ctrl,C05_time_s,C05_tech_succ,C05_self_succ,C05_correct,C06_variant,C06_trust,C06_conf,C06_trans,C06_ctrl,C06_time_s,C06_tech_succ,C06_self_succ,C06_correct,C07_variant,C07_trust,C07_conf,C07_trans,C07_ctrl,C07_time_s,C07_tech_succ,C07_self_succ,C07_correct,C08_variant,C08_trust,C08_conf,C08_trans,C08_ctrl,C08_time_s,C08_tech_succ,C08_self_succ,C08_correct
P14,citizen_dev,A,85.0,6,yes,summary,7,7,7,7,304.5,1,1,1,diff,6,7,7,6,98.7,1,1,1,diff_risk,7,7,7,7,76.0,1,1,1,summary,7,7,7,7,118.8,1,1,0,diff,3,7,6,6,263.8,0,0,0,diff,6,7,7,6,340.3,1,1,0,diff_risk,7,6,6,7,112.6,1,1,0,summary,5,7,7,6,205.5,1,0,1
P04,professional_dev,A,87.5,6,yes,summary,7,7,7,7,136.9,1,1,1,diff,7,7,7,7,65.1,1,1,1,diff_risk,7,7,7,7,61.0,1,1,1,summary,7,7,7,7,82.0,1,1,0,diff,6,7,7,7,358.0,0,0,0,diff,7,7,7,7,114.7,1,1,0,diff_risk,7,7,7,7,109.2,1,1,0,summary,6,7,6,7,466.6,1,0,1
P07,professional_dev,A,72.5,5,maybe,summary,7,7,7,7,391.3,1,1,1,diff,6,7,7,5,200.6,1,1,1,diff_risk,7,7,7,7,72.6,1,1,1,summary,7,6,7,3,308.2,1,1,0,diff,3,6,7,3,528.8,1,1,0,diff,7,7,5,5,219.9,1,1,0,diff_risk,7,7,6,6,182.5,1,1,0,summary,4,5,4,2,204.5,1,1,1
P03,professional_dev,C,32.5,2,maybe,diff,3,3,7,1,93.7,1,1,1,diff_risk,1,7,7,1,1235.6,1,0,1,summary,7,7,2,1,503.6,1,1,1,diff,7,5,6,3,128.4,1,1,0,diff_risk,2,7,7,1,1140.4,0,0,0,diff_risk,3,4,7,1,1782.6,1,0,0,summary,7,3,7,1,193.4,1,0,0,diff,2,2,2,1,743.3,1,0,1
P13,citizen_dev,B,60.0,6,yes,diff_risk,7,7,7,7,50.8,1,1,1,summary,7,7,7,7,92.3,1,1,1,diff,7,7,7,7,223.9,1,1,1,diff_risk,7,7,7,7,96.4,1,1,0,summary,4,7,7,7,339.1,0,1,0,summary,7,7,7,7,248.8,1,1,0,diff,7,7,7,7,87.9,1,1,0,diff_risk,7,7,7,7,145.3,1,1,1
P02,professional_dev,B,82.5,5,yes,diff_risk,7,7,7,7,130.5,1,1,1,summary,7,7,7,7,221.2,1,1,1,diff,7,7,7,7,79.5,1,1,1,diff_risk,6,7,7,6,120.2,1,1,0,summary,6,7,4,6,179.3,0,0,0,summary,2,4,2,3,176.1,1,1,0,diff,6,6,7,7,119.5,1,1,0,diff_risk,3,4,6,5,253.7,1,0,1
P12,citizen_dev,C,100.0,7,yes,diff,7,7,7,7,132.3,1,1,1,diff_risk,7,7,7,7,54.0,1,1,1,summary,7,7,7,7,369.6,1,1,1,diff,7,7,7,4,92.0,1,1,0,diff_risk,7,4,7,5,230.3,0,1,0,diff_risk,7,7,7,7,70.9,1,1,0,summary,7,7,4,4,60.7,0,1,0,diff,7,7,4,7,115.2,1,1,1
P16,citizen_dev,C,62.5,5,maybe,diff,7,6,6,6,83.9,1,1,1,diff_risk,7,7,7,7,77.8,1,1,1,summary,2,5,6,2,919.6,1,1,1,diff,6,6,7,7,149.1,1,1,0,diff_risk,2,6,7,2,430.8,0,1,0,diff_risk,7,6,4,5,70.2,1,1,0,summary,5,4,3,6,236.2,1,1,0,diff,4,5,7,2,374.2,1,1,1
P01,professional_dev,A,75.0,3,yes,summary,3,7,4,3,214.3,1,1,1,diff,7,7,7,5,305.2,1,1,1,diff_risk,7,7,7,4,78.2,1,1,1,summary,1,7,1,5,92.8,0,0,1,diff,3,7,6,5,188.0,0,0,0,diff,6,7,6,5,185.1,1,1,0,diff_risk,4,4,4,4,137.7,1,1,0,summary,2,7,5,5,441.3,1,0,1
P06,professional_dev,C,52.5,6,maybe,diff,6,7,7,5,181.5,0,1,1,diff_risk,7,7,7,7,79.0,1,1,1,summary,7,7,7,7,575.3,1,1,1,diff,6,7,7,5,289.4,1,1,0,diff_risk,5,6,5,6,298.5,0,0,1,diff_risk,6,6,5,6,547.9,1,1,0,summary,6,7,7,6,255.8,1,1,0,diff,5,6,5,5,373.0,1,0,1
