pid,group,design,overall_trust,would_use
P08,professional_dev,B,7,yes
P07,professional_dev,A,5,maybe
P03,professional_dev,C,2,maybe
P10,professional_dev,C,5,no
P09,professional_dev,A,7,yes
P11,citizen_dev,A,6,yes
P12,citizen_dev,C,7,yes
P05,professional_dev,B,6,yes
P04,professional_dev,A,6,yes
P13,citizen_dev,B,6,yes
P16,citizen_dev,C,5,maybe
P17,citizen_dev,A,4,maybe
P15,citizen_dev,B,6,maybe
P01,professional_dev,A,3,yes
P18,citizen_dev,B,5,maybe
P14,citizen_dev,A,6,yes
P06,professional_dev,C,6,maybe
P02,professional_dev,B,5,yes
