pid,group,design,sus_q01,sus_q02,sus_q03,sus_q04,sus_q05,sus_q06,sus_q07,sus_q08,sus_q09,sus_q10,sus_score
P01,professional_dev,A,5,1,5,1,3,3,3,1,2,2,75.0
P02,professional_dev,B,5,3,5,1,3,2,4,1,5,2,82.5
P03,professional_dev,C,1,3,5,5,5,4,1,3,1,5,32.5
P04,professional_dev,A,5,1,4,2,4,1,4,1,4,1,87.5
P05,professional_dev,B,5,1,4,2,5,1,5,1,4,1,92.5
P06,professional_dev,C,3,4,4,4,3,3,4,2,2,2,52.5
P07,professional_dev,A,3,2,4,1,3,2,2,2,5,1,72.5
P08,professional_dev,B,4,1,5,1,5,2,4,1,4,1,90.0
P09,professional_dev,A,5,1,5,1,5,1,5,1,5,1,100.0
P10,professional_dev,C,2,2,5,1,2,4,4,1,3,1,67.5
P11,citizen_dev,A,5,1,5,2,5,1,5,1,5,1,97.5
P12,citizen_dev,C,5,1,5,1,5,1,5,1,5,1,100.0
P13,citizen_dev,B,3,2,5,5,5,4,4,1,4,5,60.0
P14,citizen_dev,A,5,1,5,5,5,2,5,1,5,2,85.0
P15,citizen_dev,B,4,2,5,1,5,2,4,1,3,1,85.0
P16,citizen_dev,C,4,2,4,2,5,2,2,5,3,2,62.5
P17,citizen_dev,A,4,3,2,5,4,1,2,3,2,3,47.5
P18,citizen_dev,B,5,2,5,2,4,2,3,2,3,2,75.0
