item,test,stat,p,n,effect,effect_kind
Trust,friedman,5.93,0.0515,18,0.165,kendall_w
Trust,wilcoxon summary vs diff,37.5,0.603,18,0.301,rosenthal_r
Trust,wilcoxon summary vs diff_risk,18.0,0.0902,18,0.511,rosenthal_r
Trust,wilcoxon diff vs diff_risk,51.0,1.0,18,0.022,rosenthal_r
Confidence,friedman,1.06,0.5896,18,0.029,kendall_w
Confidence,wilcoxon summary vs diff,27.5,1.0,18,0.213,rosenthal_r
Confidence,wilcoxon summary vs diff_risk,31.0,1.0,18,0.149,rosenthal_r
Confidence,wilcoxon diff vs diff_risk,40.0,1.0,18,0.185,rosenthal_r
Transparency,friedman,1.34,0.5105,18,0.037,kendall_w
Transparency,wilcoxon summary vs diff,44.5,1.0,18,0.208,rosenthal_r
Transparency,wilcoxon summary vs diff_risk,36.5,0.9444,18,0.237,rosenthal_r
Transparency,wilcoxon diff vs diff_risk,44.0,1.0,18,0.126,rosenthal_r
Control,friedman,5.7,0.0579,18,0.158,kendall_w
Control,wilcoxon summary vs diff,23.0,0.1909,18,0.437,rosenthal_r
Control,wilcoxon summary vs diff_risk,10.0,0.0675,18,0.538,rosenthal_r
Control,wilcoxon diff vs diff_risk,44.0,1.0,18,0.025,rosenthal_r
